title,author,publisher,call_number,isbn,edition,year,pages,copies,remarks,image_url,,,,,,,,,
Children's Literature,"Parayno, Salud M.",Katha Pub. Co. Inc.,808.899,,,1997,131,,,,,,,,,,,,
Developmental Reading (Workbook),"Talens, Belen A.",Katha Pub. Co. Inc.,418.4,,,1997,85,,,,,,,,,,,,
Developmental Reading,"Dias, Lourdes S.",PAFTI & Katha Pub. Co. Inc.,418.4,,,1997,156,,,,,,,,,,,,
Workbook for Student Teaching,"Lardizabal, Amparo",PAFTI & Katha Pub. Co. Inc.,370.733`2,,,1997,63,,,,,,,,,,,,
Teaching Strategies I,"Alcantara, Rebecca D.",PAFTI & Katha Pub. Co. Inc.,372.4,,,1996,194,,,,,,,,,,,,
Priciples of Teaching & Instruction Tech.,"Navaro, Rosita L.",Katha Pub. Co. Inc.,371.3,,,1995,133,,,,,,,,,,,,
Current Issues,"Ronquillo, Adelaida",Katha Pub. Co. Inc.,362,,,1995,222,,,,,,,,,,,,
A Text on values Education,"Bocungan, Cleofe M.",Katha Pub. Co. Inc.,370.11,,,1996,207,,,,,,,,,,,,
Educational Education & Measurements Theory Practice & Application,"Padua, Roberto N.",Katha Pub. Co. Inc.,371.2,,,1997,113,,,,,,,,,,,,
Teaching Strategies in the Social Science for Elementary Grades,"Gonzales, Minerva A.",PAFTI & Katha Pub. Co. Inc.,372.83,,,1989,94,,,,,,,,,,,,
College Algebra,"Banguero, Evelyn B.",Katha Pub. Co. Inc.,512,,,1990,221,,,,,,,,,,,,
Social Issues & Problem: Their Implication to Philippine National Development,"Ronquillo, Adelaida A.",Katha Pub. Co. Inc.,361.1,,,1990,104,,,,,,,,,,,,
English for College Freshmen,"Villanueva, Perla K.",Katha Pub. Co. Inc.,428,,,1995,279,,,,,,,,,,,,
Panitikang Pilipino (Pandalubhasaan),"Sauco, Consolacion P.",Katha Pub. Co. Inc.,895,,,1997,251,,,,,,,,,,,,
Sining ng Pakikipagtalastasan,"Manacsa, Felivitas R.",Katha Pub. Co. Inc.,499.211,,,1995,135,,,,,,,,,,,,
"Psychological, Anthropological and Sociological Foundation of Education (Foundation of Education 1)","Bustos, Alicia S.",Katha Pub. Co. Inc.,370.15,,,1996,135,,,,,,,,,,,,
"Foundation of Education II: (Historical, Philosophical and ligal Foundation of Education","San Mateo, Rosalinda A.",Katha Pub. Co. Inc.,370.1,,,1997,111,,,,,,,,,,,,
"The Teaching of Science and Health, Mathematics and Home Economics and Practical Arts (Teaching Strategies III)","Salandanan, Gloria D.",PAFTI & Katha Pub. Co. Inc.,372.3,,,1996,92,,,,,,,,,,,,
Handbook of English Grammar w/ Graded Exercises,"Amores, Corazon J. et. al",National Book Store,415.2,,,1986,216,,,,,,,,,,,,
English for College Freshmen,"Arroyo, Sandra R.",Rex Book Store,428,,,1994,224,,,,,,,,,,,,
Basic Math for College Students,"Benigno, Gloria D.",Rex Book Store,510,,,1993,289,,,,,,,,,,,,
Fundamentals of Physical Chemistry,"Maroa, Samuel R.",Machillan Pub. Co. Inc,541.3,,,1974,853,,,,,,,,,,,,
Sining ng Pakikipagtalastasan,"Gonzales, Lourdes F.",Rex Book Store,499.211,,,1989,198,,,,,,,,,,,,
Priciples of Speech & Oral Communication,"Romero, Perlita P.",Katha Pub. Co. Inc.,302.2242,,,1997,,,,,,,,,,,,,
Panitikang Pilipino,"Salagan, Lucila A. et.al",Katha Pub. Co. Inc.,899.21,,,1995,257,,,,,,,,,,,,
Gymnastics for Girls,"Aquino, Francisca R.",Kayumaggi Press Inc,796.44,,,1953,251,,,,,,,,,,,,
